Mon Nov  8 04:20:25 2010    checkfileseq_profile.txt

         6168 function calls (6128 primitive calls) in 0.012 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        3    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 argparse.py:842(__call__)
        2    0.000    0.000    0.000    0.000 argparse.py:1995(_parse_optional)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:819(__call__)
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       12    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 argparse.py:1647(_get_positional_actions)
        2    0.000    0.000    0.000    0.000 {time.time}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method groups}
        1    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {sys.getdefaultencoding}
        4    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        2    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1560(identity)
        1    0.000    0.000    0.000    0.000 argparse.py:2214(_check_value)


Mon Nov  8 04:20:25 2010    checkfileseq_profile.txt

         6168 function calls (6128 primitive calls) in 0.012 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 <string>:1(<module>)
        1    0.001    0.001    0.012    0.012 checkfileseq.py:996(main)
        1    0.000    0.000    0.009    0.009 checkfileseq.py:937(processdir)
        1    0.001    0.001    0.007    0.007 checkfileseq.py:691(preparedircontents)
       70    0.001    0.000    0.003    0.000 checkfileseq.py:574(splitfilename)
       70    0.001    0.000    0.002    0.000 checkfileseq.py:762(comparefile)
     14/6    0.000    0.000    0.002    0.000 os.py:209(walk)
      263    0.000    0.000    0.002    0.000 re.py:229(_compile)
      190    0.000    0.000    0.001    0.000 re.py:134(match)
      157    0.001    0.000    0.001    0.000 {posix.stat}
        4    0.000    0.000    0.001    0.000 sre_compile.py:495(compile)
       78    0.000    0.000    0.001    0.000 genericpath.py:38(isdir)
        1    0.000    0.000    0.001    0.001 argparse.py:1514(__init__)
      224    0.000    0.000    0.001    0.000 posixpath.py:59(join)
       79    0.000    0.000    0.001    0.000 genericpath.py:15(exists)
       10    0.000    0.000    0.001    0.000 {sorted}
        1    0.000    0.000    0.001    0.001 argparse.py:1655(parse_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1662(parse_known_args)
        3    0.000    0.000    0.001    0.000 argparse.py:1148(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:1693(_parse_known_args)
       70    0.000    0.000    0.000    0.000 re.py:139(search)
        4    0.000    0.000    0.000    0.000 sre_parse.py:663(parse)
       12    0.000    0.000    0.000    0.000 argparse.py:1229(add_argument)
        3    0.000    0.000    0.000    0.000 re.py:188(compile)
        4    0.000    0.000    0.000    0.000 sre_compile.py:480(_code)
      6/4    0.000    0.000    0.000    0.000 sre_parse.py:301(_parse_sub)
      7/5    0.000    0.000    0.000    0.000 sre_parse.py:379(_parse)
        1    0.000    0.000    0.000    0.000 argparse.py:1838(consume_positionals)
       70    0.000    0.000    0.000    0.000 posixpath.py:94(splitext)
        1    0.000    0.000    0.000    0.000 argparse.py:1979(_match_arguments_partial)
      208    0.000    0.000    0.000    0.000 checkfileseq.py:749(seqnum_compare)
      212    0.000    0.000    0.000    0.000 {built-in method match}
     14/4    0.000    0.000    0.000    0.000 sre_compile.py:32(_compile)
        5    0.000    0.000    0.000    0.000 {posix.listdir}
       70    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
      140    0.000    0.000    0.000    0.000 {built-in method groupdict}
      224    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
      556    0.000    0.000    0.000    0.000 {isinstance}
      201    0.000    0.000    0.000    0.000 checkfileseq.py:752(filename_compare)
        1    0.000    0.000    0.000    0.000 argparse.py:1761(consume_optional)
        3    0.000    0.000    0.000    0.000 gettext.py:565(gettext)
